0: ガデム	「素人め、間合いが遠いわ」
1: アムロ	『と、父さん、どこに行ったんだろう？』
2: セイラ	「アムロ、無線が使えるはずよ。アムロ、応答してください、アムロ」
2: セイラ	「アムロ、アムロ、応答して」
3: 連邦兵E	「了解」
3: 連邦兵A	「了解」
3: 連邦兵A	「了解」
4: 連邦士官A	「ホワイトベースにガンダムの部品を載せりゃあいいんだ。地上の作業を急がせろ」
5: フラウ	「アムロ？」
5: フラウ	「アムロ？」
5: フラウ	「アムロ、アムロ、どこにいるの？」
5: フラウ	「また？」
6: アムロ	「…」
6: アムロ	「…」
6: アムロ	「…」
6: アムロ	「…」
6: アムロ	「…」
6: アムロ	「…」
6: アムロ	「…」
6: アムロ	「…」
6: アムロ	「…」
6: アムロ	「…」
6: アムロ	「…」
6: アムロ	「…」
6: アムロ	「…」
6: アムロ	「…」
6: アムロ	「…」
6: アムロ	「…」
6: アムロ	「…」
6: アムロ	「…」
6: アムロ	「…」
6: アムロ	「…」
6: アムロ	「…？」
6: アムロ	「…、うわっ」
7: ワッケイン	「はい」
8: ミライ	「うわっ」
9: ブライト	「ミライ」
9: ミライ	「ブライト」
9: ミライ	「ブライト」
9: ブライト	「ミライ、セイラ」
9: ミライ	「…」
10: シャア	「は。モビルスーツの開発、それに伴う新造戦艦を同時にキャッチしたのであります」
11: パオロ	「ジオンのザクを倒したのもその少年なのか？」
12: ガルマ	「見ただろう、敵の威力を。私はあれを無傷で手に入れたい。あれは今度の大戦の戦略を大きく塗り替える戦力だ。が、奴らを大陸から一歩も出すな、私の監視の目の中に泳がせておけ。私は必ず仕留める」
13: カイ	「ミサイル撃ってきたらどうするんだよ？」
13: カイ	「撃ってきたらどうするんだよ」
14: ハヤト	「はい」
14: ハヤト	「はい」
14: ハヤト	「はい、この数字ですね」
15: 連邦兵A	「うわあっ」
15: ジオン兵A	「うわあっ」
15: テム	「うわあっ」
16: ブライト	「ああ」
16: ブライト	「ああ。しかし」
17: 避難民達	「ああっ」
17: 避難民達	「ああっ」
17: 子供達	「ああっ」
17: 避難民達	「うわあっ」
18: オスカ	「わかりません。15分後に接触します」
19: アムロ	「無駄じゃないんですか？ブライトさん」
19: アムロ	「自信の問題じゃない。やるしかないんでしょ？ブライトさん」
19: フラウ	「駄目じゃない。お向かいさんなんでしょ、アムロに教えてあげなくっちゃ」
20: ジオン兵A	「は」
20: ジオン兵A	「は、はい」
20: ジオン兵B	「…」
20: ジオン兵A	「は、かしこまりました」
20: ジオン兵A	「あ」
20: ジオン兵A	「了解」
20: ジオン兵A	「あ、は、は、はい、艦長」
20: ジオン兵B	「ところがよくはないんだよ」
21: ドレン	「シャア少佐、お戻りください。ムサイはメガ砲も使えず」
22: ブライト	「リュウ、大丈夫なのか？」
22: リード	「ザク、大丈夫かな？」
22: ミライ	「大丈夫なの？」
22: ブライト	「ザクか？」
23: リード	「突破するんだ、なにがなんでも」
